Year,Month,Date,Region,Temp,Above 35,Burnoff,Hectares burned,Region Hectares,Hectare Percent Burnt,Bushfire,Severe Bushfire
1972,6,1/06/1972,1,17.1,0,0,0,460481,0,0,0
1972,7,1/07/1972,1,15.2,0,0,0,460481,0,0,0
1972,8,1/08/1972,1,16.3,0,0,0,460481,0,0,0
1972,9,1/09/1972,1,19.4,0,0,0,460481,0,0,0
1972,10,1/10/1972,1,21.6,0,0,0,460481,0,0,0
1972,11,1/11/1972,1,23.5,0,0,0,460481,0,0,0
1972,12,1/12/1972,1,27.0,5,0,657,460481,0.142676897,1,0
1973,1,1/01/1973,1,30.3,10,0,0,460481,0,0,0
1973,2,1/02/1973,1,27.4,2,0,0,460481,0,0,0
1973,3,1/03/1973,1,24.9,1,0,0,460481,0,0,0
1973,4,1/04/1973,1,23.1,0,0,0,460481,0,0,0
1973,5,1/05/1973,1,19.8,0,0,0,460481,0,0,0
1973,6,1/06/1973,1,14.9,0,0,0,460481,0,0,0
1973,7,1/07/1973,1,16.2,0,0,0,460481,0,0,0
1973,8,1/08/1973,1,16.3,0,0,0,460481,0,0,0
1973,9,1/09/1973,1,18.8,0,0,0,460481,0,0,0
1973,10,1/10/1973,1,21.4,0,0,0,460481,0,0,0
1973,11,1/11/1973,1,23.6,0,0,0,460481,0,0,0
1973,12,1/12/1973,1,27.2,3,0,0,460481,0,0,0
1974,1,1/01/1974,1,30.0,5,0,0,460481,0,0,0
1974,2,1/02/1974,1,26.6,0,0,0,460481,0,0,0
1974,3,1/03/1974,1,27.9,0,0,0,460481,0,0,0
1974,4,1/04/1974,1,21.4,0,0,0,460481,0,0,0
1974,5,1/05/1974,1,18.0,0,0,0,460481,0,0,0
1974,6,1/06/1974,1,16.3,0,0,0,460481,0,0,0
1974,7,1/07/1974,1,15.2,0,0,0,460481,0,0,0
1974,8,1/08/1974,1,16.2,0,0,0,460481,0,0,0
1974,9,1/09/1974,1,16.8,0,0,0,460481,0,0,0
1974,10,1/10/1974,1,19.8,0,0,0,460481,0,0,0
1974,11,1/11/1974,1,22.5,0,0,0,460481,0,0,0
1974,12,1/12/1974,1,25.0,2,0,0,460481,0,0,0
1975,1,1/01/1975,1,25.3,1,0,0,460481,0,0,0
1975,2,1/02/1975,1,29.8,3,0,0,460481,0,0,0
1975,3,1/03/1975,1,24.2,0,0,0,460481,0,0,0
1975,4,1/04/1975,1,21.7,0,0,0,460481,0,0,0
1975,5,1/05/1975,1,19.6,0,0,0,460481,0,0,0
1975,6,1/06/1975,1,15.7,0,0,0,460481,0,0,0
1975,7,1/07/1975,1,17.1,0,0,0,460481,0,0,0
1975,8,1/08/1975,1,15.4,0,0,0,460481,0,0,0
1975,9,1/09/1975,1,18.5,0,0,0,460481,0,0,0
1975,10,1/10/1975,1,19.2,0,0,0,460481,0,0,0
1975,11,1/11/1975,1,24.9,2,0,0,460481,0,0,0
1975,12,1/12/1975,1,28.1,4,0,581,460481,0.126172415,1,0
1976,1,1/01/1976,1,26.9,3,0,0,460481,0,0,0
1976,2,1/02/1976,1,29.3,3,0,0,460481,0,0,0
1976,3,1/03/1976,1,25.0,0,0,0,460481,0,0,0
1976,4,1/04/1976,1,21.7,0,0,0,460481,0,0,0
1976,5,1/05/1976,1,17.9,0,0,0,460481,0,0,0
1976,6,1/06/1976,1,15.8,0,0,0,460481,0,0,0
1976,7,1/07/1976,1,15.7,0,0,0,460481,0,0,0
1976,8,1/08/1976,1,16.6,0,0,0,460481,0,0,0
1976,9,1/09/1976,1,17.6,0,0,0,460481,0,0,0
